Sold,Selling Price,Make,Model,Mileage,Displacement (L),Aspiration,Cylinder Config,Drivetrain,Transmission,Gears,Body Style,Exterior Color,Interior Color,Title Status,Location,Seller Type,Model Year Age,Has Executive Package,Has Carbon Equipment,Has Lane Tracking Equipment,Has Leather Equipment,Has Premium Sound,Has Sunroof,Has Accident History,Has Cosmetic Flaw,Has Modifications
False,32250.0,bmw,e46 m3,69300.0,3.2,Naturally Aspirated,i6,RWD,automatic,6.0,coupe,Blue,Black,clean,ma,private party,19,0,0,0,0,0,1,0,1,1
False,65501.0,dodge,viper,41800.0,8.4,Naturally Aspirated,v10,RWD,manual,6.0,coupe,Other,Black,clean,fl,private party,17,0,0,0,1,0,0,0,1,1
False,21250.0,bmw,4 series,26800.0,3.0,turbocharged,i6,RWD,automatic,8.0,coupe,Black,Other,clean,ct,private party,5,0,0,0,1,0,1,0,1,1
True,79500.0,toyota,supra,87900.0,3.0,turbocharged,i6,RWD,automatic,4.0,coupe,White,Black,clean,ga,private party,28,0,0,0,1,0,0,0,1,1
False,77000.0,ford,mustang,19800.0,5.2,supercharged,v8,RWD,automatic,7.0,coupe,Black,Other,clean,nj,private party,4,0,1,0,1,0,0,0,1,1
False,39000.0,bentley,continental,50000.0,6.0,turbocharged,w12,4WD/AWD,automatic,8.0,coupe,Red,Red,clean,ca,private party,12,0,0,0,0,0,0,0,1,1
True,6169.0,chevrolet,camaro,55600.0,5.7,Naturally Aspirated,v8,RWD,manual,6.0,coupe,White,Gray,clean,az,private party,31,0,0,0,1,0,0,0,1,1
True,44000.0,bmw,e36 m3,24000.0,3.2,Naturally Aspirated,i6,RWD,manual,5.0,coupe,Black,Black,clean,ca,private party,26,0,0,0,1,0,1,0,1,0
False,62500.0,mercedes-benz,amg gt,26400.0,4.0,turbocharged,v8,RWD,automatic,7.0,coupe,Gray,Black,clean,il,private party,9,0,0,1,1,1,1,0,1,1
True,22750.0,bmw,m6,68100.0,4.4,turbocharged,v8,RWD,automatic,7.0,coupe,Blue,Gray,clean,bc,private party,12,1,1,0,1,0,0,1,1,1
True,11600.0,toyota,mr2,149800.0,2.2,Naturally Aspirated,i4,RWD,manual,5.0,coupe,Black,Blue,clean,ca,dealer,34,0,0,0,0,0,0,0,1,1
True,32250.0,bmw,2 series,10500.0,2.0,turbocharged,i4,4WD/AWD,automatic,8.0,coupe,Other,Black,clean,ma,private party,1,0,0,0,0,0,0,0,0,0
True,6600.0,nissan,300zx,198600.0,3.0,Naturally Aspirated,v6,RWD,manual,5.0,coupe,Red,Black,clean,mo,private party,39,0,0,0,1,0,0,0,0,1
True,21000.0,bmw,2002,2200.0,2.0,Naturally Aspirated,i4,RWD,manual,4.0,coupe,Blue,Other,clean,il,private party,51,0,0,0,0,0,0,0,1,0
True,37800.0,bmw,m2,32800.0,3.0,turbocharged,i6,RWD,automatic,7.0,coupe,Gray,Black,clean,fl,private party,8,1,1,0,1,0,0,0,1,1
True,25500.0,ford,mustang,85500.0,5.4,supercharged,v8,RWD,manual,6.0,coupe,Blue,Black,clean,id,private party,14,0,0,0,1,0,0,0,1,1
False,230900.0,porsche,992 911,4000.0,3.8,turbocharged,flat-6,4WD/AWD,automatic,8.0,coupe,White,Black,clean,fl,dealer,2,0,1,0,1,0,1,0,1,1
True,28500.0,bmw,z4,95400.0,3.2,Naturally Aspirated,i6,RWD,manual,6.0,coupe,Black,Black,clean,ga,dealer,18,0,0,0,1,0,0,1,1,0
True,38500.0,chevrolet,c7 corvette,61700.0,6.2,Naturally Aspirated,v8,RWD,manual,7.0,coupe,Gray,Black,clean,az,private party,6,0,1,0,1,0,0,0,1,1
True,10250.0,ford,mustang,71700.0,4.6,Naturally Aspirated,v8,RWD,manual,5.0,coupe,Gray,Black,clean,ca,private party,22,0,0,0,1,0,0,0,1,1
False,69500.0,ford,mustang,9500.0,5.2,supercharged,v8,RWD,automatic,7.0,coupe,Gray,Other,clean,tx,private party,5,0,0,0,1,0,0,0,1,1
True,18500.0,mercedes-benz,s-class,28900.0,5.0,Naturally Aspirated,v8,RWD,automatic,4.0,coupe,Gray,Red,registered,me,private party,40,0,0,0,1,0,1,0,1,1
True,83500.0,porsche,718 cayman,12500.0,4.0,Naturally Aspirated,flat-6,RWD,manual,6.0,coupe,White,Red,clean,ca,private party,3,0,0,0,1,1,0,0,1,0
